Gender,Married,Education,Self_Employed,Total_Income,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,0,1,0,5849.0,121.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,6091.0,128.0,360.0,1.0,N,0,1,0,0,1,0,0
0,1,1,1,3000.0,66.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,0,0,4941.0,120.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,1,0,6000.0,141.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,1,9613.0,267.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,1,0,0,3849.0,95.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,1,0,5540.0,158.0,360.0,0.0,N,0,0,0,1,0,1,0
0,1,1,0,5532.0,168.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,1,1,0,23809.0,349.0,360.0,1.0,N,0,1,0,0,0,1,0
0,1,1,0,3900.0,70.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,1,1,0,4340.0,109.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,1,1,0,11179.0,200.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,0,1,0,4693.0,114.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,2385.0,17.0,120.0,1.0,Y,0,0,1,0,0,0,1
0,0,1,0,4950.0,125.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,0,0,0,3596.0,100.0,240.0,1.0,Y,0,1,0,0,0,0,1
1,0,1,0,3510.0,76.0,360.0,0.0,N,1,0,0,0,0,0,1
0,1,0,0,4887.0,133.0,360.0,1.0,N,1,0,0,0,1,0,0
0,1,1,0,6100.0,115.0,360.0,1.0,Y,1,0,0,0,0,0,1
0,1,0,0,7660.0,104.0,360.0,0.0,N,1,0,0,0,0,0,1
0,1,1,0,11580.0,315.0,360.0,1.0,Y,0,1,0,0,0,0,1
0,1,0,0,4511.0,116.0,360.0,0.0,N,1,0,0,0,0,1,0
0,1,1,0,6642.0,151.0,360.0,1.0,N,0,1,0,0,0,1,0
0,1,1,1,9560.0,191.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,1,0,5052.0,122.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,1,0,0,5266.0,110.0,360.0,1.0,Y,0,0,1,0,0,0,1
0,0,0,0,1442.0,35.0,360.0,1.0,N,1,0,0,0,0,0,1
1,0,1,0,5833.0,120.0,360.0,1.0,Y,0,0,1,0,0,1,0
0,1,1,0,7535.0,201.0,360.0,1.0,N,0,1,0,0,0,0,1
0,0,1,0,3167.0,74.0,360.0,1.0,N,1,0,0,0,0,0,1
0,0,1,1,4692.0,106.0,360.0,1.0,N,0,1,0,0,1,0,0
0,1,1,0,5167.0,114.0,360.0,1.0,Y,1,0,0,0,0,1,0
0,0,1,0,15500.0,320.0,360.0,1.0,N,0,0,0,1,1,0,0
